trans_id,lang,translation
野州山辺,ja,野州山辺
野州山辺,en,Yashu-yamabe
東あずま,ja,東あずま
東あずま,en,Higashi-azuma
曳舟,ja,曳舟
曳舟,en,Hikifune
亀戸水神,ja,亀戸水神
亀戸水神,en,Kameidosuijin
亀戸,ja,亀戸
亀戸,en,Kameido
小村井,ja,小村井
小村井,en,Omurai
大谷向,ja,大谷向
大谷向,en,Daiyamuko
鬼怒川公園,ja,鬼怒川公園
鬼怒川公園,en,Kinugawa-koen
鬼怒川温泉,ja,鬼怒川温泉
鬼怒川温泉,en,Kinugawa-onsen
小佐越,ja,小佐越
小佐越,en,Kosagoe
大桑,ja,大桑
大桑,en,Okuwa
下今市,ja,下今市
下今市,en,Shimo-imaichi
新藤原,ja,新藤原
新藤原,en,Shin-fujiwara
新高徳,ja,新高徳
新高徳,en,Shin-takatoku
東武ワールドスクウェア,ja,東武ワールドスクウェア
東武ワールドスクウェア,en,Tobu World Square
相老,ja,相老
相老,en,Aioi
赤城,ja,赤城
赤城,en,Akagi
阿左美,ja,阿左美
阿左美,en,Azami
治良門橋,ja,治良門橋
治良門橋,en,Jiroembashi
三枚橋,ja,三枚橋
三枚橋,en,Sammaibashi
新桐生,ja,新桐生
新桐生,en,Shin-kiryu
勝沼ぶどう郷,ja,勝沼ぶどう郷
勝沼ぶどう郷,en,Katsunumabudokyo
藪塚,ja,藪塚
藪塚,en,Yabuzuka
東小泉,ja,東小泉
東小泉,en,Higashi-koizumi
本中野,ja,本中野
本中野,en,Hon-nakano
小泉町,ja,小泉町
小泉町,en,Koizumimachi
成島,ja,成島
成島,en,Narushima
西小泉,ja,西小泉
西小泉,en,Nishi-koizumi
篠塚,ja,篠塚
篠塚,en,Shinozuka
竜舞,ja,竜舞
竜舞,en,Ryumai
藤岡,ja,藤岡
藤岡,en,Fujioka
家中,ja,家中
家中,en,Ienaka
板荷,ja,板荷
板荷,en,Itaga
板倉東洋大前,ja,板倉東洋大前
板倉東洋大前,en,Itakura-toyodaimae
上今市,ja,上今市
上今市,en,Kami-imaichi
合戦場,ja,合戦場
合戦場,en,Kassemba
北鹿沼,ja,北鹿沼
北鹿沼,en,Kita-kanuma
栗橋,ja,栗橋
栗橋,en,Kurihashi
南栗橋,ja,南栗橋
南栗橋,en,Minami-kurihashi
樅山,ja,樅山
樅山,en,Momiyama
明神,ja,明神
明神,en,Myojin
楡木,ja,楡木
楡木,en,Niregi
幸手,ja,幸手
幸手,en,Satte
下小代,ja,下小代
下小代,en,Shimo-goshiro
新鹿沼,ja,新鹿沼
新鹿沼,en,Shin-kanuma
新古河,ja,新古河
新古河,en,Shin-koga
新大平下,ja,新大平下
新大平下,en,Shin-ohirashita
新栃木,ja,新栃木
新栃木,en,Shin-tochigi
静和,ja,静和
静和,en,Shizuwa
杉戸高野台,ja,杉戸高野台
杉戸高野台,en,Sugito-takanodai
東武金崎,ja,東武金崎
東武金崎,en,Tobu-kanasaki
萩山,ja,萩山
萩山,en,Hagiyama
拝島,ja,拝島
拝島,en,Haijima
東大和市,ja,東大和市
東大和市,en,Higashi-Yamatoshi
東武日光,ja,東武日光
東武日光,en,Tobu-nikko
小平,ja,小平
小平,en,Kodaira
武蔵砂川,ja,武蔵砂川
武蔵砂川,en,Musashi-Sunagawa
小川,ja,小川
小川,en,Ogawa
西武立川,ja,西武立川
西武立川,en,Seibu-Tachikawa
玉川上水,ja,玉川上水
玉川上水,en,Tamagawa-Josui
吾野,ja,吾野
吾野,en,Agano
秋津,ja,秋津
秋津,en,Akitsu
仏子,ja,仏子
仏子,en,Bushi
江古田,ja,江古田
江古田,en,Ekoda
富士見台,ja,富士見台
富士見台,en,Fujimidai
飯能,ja,飯能
飯能,en,Hanno
ひばりヶ丘,ja,ひばりヶ丘
ひばりヶ丘,en,Hibarigaoka
東吾野,ja,東吾野
東吾野,en,Higashi-Agano
東飯能,ja,東飯能
東飯能,en,Higashi-Hanno
東久留米,ja,東久留米
東久留米,en,Higashi-Kurume
東長崎,ja,東長崎
東長崎,en,Higashi-Nagasaki
保谷,ja,保谷
保谷,en,Hoya
池袋,ja,池袋
池袋,en,Ikebukuro
三軒茶屋,ja,三軒茶屋
三軒茶屋,en,Sangen-jaya
稲荷山公園,ja,稲荷山公園
稲荷山公園,en,Inariyama-Koen
入間市,ja,入間市
入間市,en,Irumashi
清瀬,ja,清瀬
清瀬,en,Kiyose
高麗,ja,高麗
高麗,en,Koma
小手指,ja,小手指
小手指,en,Kotesashi
元加治,ja,元加治
元加治,en,Motokaji
武蔵藤沢,ja,武蔵藤沢
武蔵藤沢,en,Musashi-Fujisawa
武蔵横手,ja,武蔵横手
武蔵横手,en,Musashi-Yokote
中村橋,ja,中村橋
中村橋,en,Nakamurabashi
練馬高野台,ja,練馬高野台
練馬高野台,en,Nerima-Takanodai
練馬,ja,練馬
練馬,en,Nerima
西所沢,ja,西所沢
西所沢,en,Nishi-Tokorozawa
大泉学園,ja,大泉学園
大泉学園,en,Oizumi-Gakuen
相模湖,ja,相模湖
相模湖,en,Sagamiko
桜台,ja,桜台
桜台,en,Sakuradai
狭山ヶ丘,ja,狭山ヶ丘
狭山ヶ丘,en,Sayamagaoka
石神井公園,ja,石神井公園
石神井公園,en,Shakujii-Koen
椎名町,ja,椎名町
椎名町,en,Shiinamachi
西武球場前,ja,西武球場前
西武球場前,en,Seibukyujo-Mae
所沢,ja,所沢
所沢,en,Tokorozawa
東村山,ja,東村山
東村山,en,Higashi-Murayama
恋ヶ窪,ja,恋ヶ窪
恋ヶ窪,en,Koigakubo
国分寺,ja,国分寺
国分寺,en,Kokubunji
鷹の台,ja,鷹の台
鷹の台,en,Takanodai
下山口,ja,下山口
下山口,en,Shimo-Yamaguchi
印西牧の原,ja,印西牧の原
印西牧の原,en,Inzai-Makinohara
小山,ja,小山
小山,en,Oyama
芦ヶ久保,ja,芦ヶ久保
芦ヶ久保,en,Ashigakubo
西吾野,ja,西吾野
西吾野,en,Nishi-Agano
西武秩父,ja,西武秩父
西武秩父,en,Seibu-Chichibu
正丸,ja,正丸
正丸,en,Shomaru
横瀬,ja,横瀬
横瀬,en,Yokoze
小竹向原,ja,小竹向原
小竹向原,en,Kotake-mukaihara
新桜台,ja,新桜台
新桜台,en,Shin-Sakuradai
西武園,ja,西武園
西武園,en,Seibuen
新井薬師前,ja,新井薬師前
新井薬師前,en,Araiyakushi-Mae
花小金井,ja,花小金井
花小金井,en,Hana-Koganei
東伏見,ja,東伏見
東伏見,en,Higashi-Fushimi
本川越,ja,本川越
本川越,en,Hon-Kawagoe
井荻,ja,井荻
井荻,en,Iogi
入曽,ja,入曽
入曽,en,Iriso
上井草,ja,上井草
上井草,en,Kami-Igusa
上石神井,ja,上石神井
上石神井,en,Kami-Shakujii
航空公園,ja,航空公園
航空公園,en,Koku-Koen
久米川,ja,久米川
久米川,en,Kumegawa
南大塚,ja,南大塚
南大塚,en,Minami-Otsuka
武蔵関,ja,武蔵関
武蔵関,en,Musashi-Seki
中井,ja,中井
中井,en,Nakai
野方,ja,野方
野方,en,Nogata
沼袋,ja,沼袋
沼袋,en,Numabukuro
鷺ノ宮,ja,鷺ノ宮
鷺ノ宮,en,Saginomiya
狭山市,ja,狭山市
狭山市,en,Sayamashi
西武新宿,ja,西武新宿
西武新宿,en,Seibu-Shinjuku
西武柳沢,ja,西武柳沢
西武柳沢,en,Seibu-Yagisawa
多磨,ja,多磨
多磨,en,Tama
下井草,ja,下井草
下井草,en,Shimo-Igusa
下落合,ja,下落合
下落合,en,Shimo-Ochiai
新狭山,ja,新狭山
新狭山,en,Shin-Sayama
武蔵境,ja,武蔵境
武蔵境,en,Musashi-Sakai
新所沢,ja,新所沢
新所沢,en,Shin-Tokorozawa
高田馬場,ja,高田馬場
高田馬場,en,Takadanobaba
田無,ja,田無
田無,en,Tanashi
都立家政,ja,都立家政
都立家政,en,Toritsu-Kasei
是政,ja,是政
是政,en,Koremasa
競艇場前,ja,競艇場前
競艇場前,en,Kyoteijo-Mae
新小金井,ja,新小金井
新小金井,en,Shin-Koganei
白糸台,ja,白糸台
白糸台,en,Shiraitodai
一橋学園,ja,一橋学園
一橋学園,en,Hitotsubashi-Gakuen
武蔵大和,ja,武蔵大和
武蔵大和,en,Musashi-Yamato
青梅街道,ja,青梅街道
青梅街道,en,Ome-Kaido
西武遊園地,ja,西武遊園地
西武遊園地,en,Seibu-Yuenchi
八坂,ja,八坂
八坂,en,Yasaka
豊島園,ja,豊島園
豊島園,en,Toshimaen
遊園地西,ja,遊園地西
遊園地西,en,Yuenchi-Nishi
栃木,ja,栃木
栃木,en,Tochigi
盛岡,ja,盛岡
盛岡,en,Morioka
柳生,ja,柳生
柳生,en,Yagyu
小淵沢,ja,小淵沢
小淵沢,en,Kobuchizawa
武州唐沢,ja,武州唐沢
武州唐沢,en,Bushu-karasawa
坂戸,ja,坂戸
坂戸,en,Sakado
武州長瀬,ja,武州長瀬
武州長瀬,en,Bushu-nagase
甲府,ja,甲府
甲府,en,Kofu
東毛呂,ja,東毛呂
東毛呂,en,Higashi-moro
一本松,ja,一本松
一本松,en,Ippommatsu
川角,ja,川角
川角,en,Kawakado
西大家,ja,西大家
西大家,en,Nishi-oya
越生,ja,越生
越生,en,Ogose
酒折,ja,酒折
酒折,en,Sakaori
堀米,ja,堀米
堀米,en,Horigome
葛生,ja,葛生
葛生,en,Kuzu
佐野市,ja,佐野市
佐野市,en,Sanoshi
佐野,ja,佐野
佐野,en,Sano
多田,ja,多田
多田,en,Tada
田島,ja,田島
田島,en,Tajima
田沼,ja,田沼
田沼,en,Tanuma
猿橋,ja,猿橋
猿橋,en,Saruhashi
渡瀬,ja,渡瀬
渡瀬,en,Watarase
吉水,ja,吉水
吉水,en,Yoshimizu
浅草,ja,浅草
浅草,en,Asakusa
獨協大学前<草加松原>,ja,獨協大学前<草加松原>
獨協大学前<草加松原>,en,Dokkyodaigakumae
蒲生,ja,蒲生
蒲生,en,Gamo
五反野,ja,五反野
五反野,en,Gotanno
東向島,ja,東向島
東向島,en,Higashi-mukojima
姫宮,ja,姫宮
姫宮,en,Himemiya
堀切,ja,堀切
堀切,en,Horikiri
一ノ割,ja,一ノ割
一ノ割,en,Ichinowari
鐘ヶ淵,ja,鐘ヶ淵
鐘ヶ淵,en,Kanegafuchi
武里,ja,武里
武里,en,Takesato
春日部,ja,春日部
春日部,en,Kasukabe
北春日部,ja,北春日部
北春日部,en,Kita-kasukabe
北越谷,ja,北越谷
北越谷,en,Kita-koshigaya
北千住,ja,北千住
北千住,en,Kita-senju
越谷,ja,越谷
越谷,en,Koshigaya
小菅,ja,小菅
小菅,en,Kosuge
笹子,ja,笹子
笹子,en,Sasago
大袋,ja,大袋
大袋,en,Obukuro
せんげん台,ja,せんげん台
せんげん台,en,Sengendai
新越谷,ja,新越谷
新越谷,en,Shin-koshigaya
新田,ja,新田
新田,en,Shinden
草加,ja,草加
草加,en,Soka
竹ノ塚,ja,竹ノ塚
竹ノ塚,en,Takenotsuka
とうきょうスカイツリー,ja,とうきょうスカイツリー
とうきょうスカイツリー,en,Tokyo-skytree
梅島,ja,梅島
梅島,en,Umejima
牛田,ja,牛田
牛田,en,Ushida
谷塚,ja,谷塚
谷塚,en,Yatsuka
押上<スカイツリー前>,ja,押上<スカイツリー前>
押上<スカイツリー前>,en,Oshiage
愛宕,ja,愛宕
愛宕,en,Atago
江戸川台,ja,江戸川台
江戸川台,en,Edogawadai
藤の牛島,ja,藤の牛島
藤の牛島,en,Fujino-ushijima
船橋,ja,船橋
船橋,en,Funabashi
初石,ja,初石
初石,en,Hatsuishi
東岩槻,ja,東岩槻
東岩槻,en,Higashi-iwatsuki
岩槻,ja,岩槻
岩槻,en,Iwatsuki
鎌ヶ谷,ja,鎌ヶ谷
鎌ヶ谷,en,Kamagaya
柏,ja,柏
柏,en,Kashiwa
川間,ja,川間
川間,en,Kawama
北大宮,ja,北大宮
北大宮,en,Kita-omiya
馬込沢,ja,馬込沢
馬込沢,en,Magomezawa
増尾,ja,増尾
増尾,en,Masuo
南桜井,ja,南桜井
南桜井,en,Minami-sakurai
六実,ja,六実
六実,en,Mutsumi
流山おおたかの森,ja,流山おおたかの森
流山おおたかの森,en,Nagareyama-otakanomori
七光台,ja,七光台
七光台,en,Nanakodai
七里,ja,七里
七里,en,Nanasato
野田市,ja,野田市
野田市,en,Nodashi
下諏訪,ja,下諏訪
下諏訪,en,Shimo-Suwa
大宮公園,ja,大宮公園
大宮公園,en,Omiya-koen
大宮,ja,大宮
大宮,en,Omiya
大和田,ja,大和田
大和田,en,Owada
逆井,ja,逆井
逆井,en,Sakasai
清水公園,ja,清水公園
清水公園,en,Shimizu-koen
新船橋,ja,新船橋
新船橋,en,Shin-funabashi
新府,ja,新府
新府,en,Shimpu
新柏,ja,新柏
新柏,en,Shin-kashiwa
高柳,ja,高柳
高柳,en,Takayanagi
豊春,ja,豊春
豊春,en,Toyoharu
豊四季,ja,豊四季
豊四季,en,Toyoshiki
塚田,ja,塚田
塚田,en,Tsukada
北池袋,ja,北池袋
北池袋,en,Kita-ikebukuro
梅郷,ja,梅郷
梅郷,en,Umesato
運河,ja,運河
運河,en,Unga
八木崎,ja,八木崎
八木崎,en,Yagisaki
朝霞台,ja,朝霞台
朝霞台,en,Asakadai
朝霞,ja,朝霞
朝霞,en,Asaka
ふじみ野,ja,ふじみ野
ふじみ野,en,Fujimino
鉢形,ja,鉢形
鉢形,en,Hachigata
東松山,ja,東松山
東松山,en,Higashi-matsuyama
上福岡,ja,上福岡
上福岡,en,Kami-fukuoka
上板橋,ja,上板橋
上板橋,en,Kami-itabashi
霞ヶ関,ja,霞ヶ関
霞ヶ関,en,Kasumigaseki
川越市,ja,川越市
川越市,en,Kawagoeshi
川越,ja,川越
川越,en,Kawagoe
北坂戸,ja,北坂戸
北坂戸,en,Kita-sakado
みずほ台,ja,みずほ台
みずほ台,en,Mizuhodai
武蔵嵐山,ja,武蔵嵐山
武蔵嵐山,en,Musashi-ranzan
中板橋,ja,中板橋
中板橋,en,Naka-itabashi
成増,ja,成増
成増,en,Narimasu
男衾,ja,男衾
男衾,en,Obusuma
小川町,ja,小川町
小川町,en,Ogawamachi
大山,ja,大山
大山,en,Oyama
志木,ja,志木
志木,en,Shiki
下赤塚,ja,下赤塚
下赤塚,en,Shimo-akatsuka
下板橋,ja,下板橋
下板橋,en,Shimo-itabashi
新河岸,ja,新河岸
新河岸,en,Shingashi
森林公園,ja,森林公園
森林公園,en,Shinrin-koen
高坂,ja,高坂
高坂,en,Takasaka
玉淀,ja,玉淀
玉淀,en,Tamayodo
東武練馬,ja,東武練馬
東武練馬,en,Tobu-nerima
東武竹沢,ja,東武竹沢
東武竹沢,en,Tobu-takezawa
ときわ台,ja,ときわ台
ときわ台,en,Tokiwadai
つきのわ,ja,つきのわ
つきのわ,en,Tsukinowa
鶴ヶ島,ja,鶴ヶ島
鶴ヶ島,en,Tsurugashima
鶴瀬,ja,鶴瀬
鶴瀬,en,Tsuruse
若葉,ja,若葉
若葉,en,Wakaba
和光市,ja,和光市
和光市,en,Wakoshi
柳瀬川,ja,柳瀬川
柳瀬川,en,Yanasegawa
寄居,ja,寄居
寄居,en,Yorii
江曽島,ja,江曽島
江曽島,en,Esojima
国谷,ja,国谷
国谷,en,Kuniya
壬生,ja,壬生
壬生,en,Mibu
南宇都宮,ja,南宇都宮
南宇都宮,en,Minami-utsunomiya
西川田,ja,西川田
西川田,en,Nishikawada
おもちゃのまち,ja,おもちゃのまち
おもちゃのまち,en,Omochanomachi
東武宇都宮,ja,東武宇都宮
東武宇都宮,en,Tobu-utsunomiya
野州平川,ja,野州平川
野州平川,en,Yashu-hirakawa
野州大塚,ja,野州大塚
野州大塚,en,Yashu-otsuka
安塚,ja,安塚
安塚,en,Yasuzuka
青葉台,ja,青葉台
青葉台,en,Aobadai
あざみ野,ja,あざみ野
あざみ野,en,Azamino
中央林間,ja,中央林間
中央林間,en,Chuo-Rinkan
江田,ja,江田
江田,en,Eda
藤が丘,ja,藤が丘
藤が丘,en,Fujigaoka
二子新地,ja,二子新地
二子新地,en,Futako-shinchi
二子玉川,ja,二子玉川
二子玉川,en,Futako-tamagawa
市が尾,ja,市が尾
市が尾,en,Ichigao
池尻大橋,ja,池尻大橋
池尻大橋,en,Ikejiriohashi
梶が谷,ja,梶が谷
梶が谷,en,Kajigaya
駒沢大学,ja,駒沢大学
駒沢大学,en,Komazawa-daigaku
利府,ja,利府
利府,en,Rifu
南町田,ja,南町田
南町田,en,Minami-machida
宮前平,ja,宮前平
宮前平,en,Miyamaedaira
宮崎台,ja,宮崎台
宮崎台,en,Miyazakidai
溝の口,ja,溝の口
溝の口,en,Mizonokuchi
長津田,ja,長津田
長津田,en,Nagatsuta
鷺沼,ja,鷺沼
鷺沼,en,Saginuma
石和温泉,ja,石和温泉
石和温泉,en,Isawa-Onsen
桜新町,ja,桜新町
桜新町,en,Sakura-shimmachi
渋谷,ja,渋谷
渋谷,en,Shibuya
すずかけ台,ja,すずかけ台
すずかけ台,en,Suzukakedai
高津,ja,高津
高津,en,Takatsu
たまプラーザ,ja,たまプラーザ
たまプラーザ,en,Tama-plaza
函南,ja,函南
函南,en,Kannami
田奈,ja,田奈
田奈,en,Tana
つきみ野,ja,つきみ野
つきみ野,en,Tsukimino
つくし野,ja,つくし野
つくし野,en,Tsukushino
用賀,ja,用賀
用賀,en,Yoga
千鳥町,ja,千鳥町
千鳥町,en,Chidoricho
荏原中延,ja,荏原中延
荏原中延,en,Ebara-nakanobu
五反田,ja,五反田
五反田,en,Gotanda
蓮沼,ja,蓮沼
蓮沼,en,Hasunuma
旗の台,ja,旗の台
旗の台,en,Hatanodai
池上,ja,池上
池上,en,Ikegami
石川台,ja,石川台
石川台,en,Ishikawa-dai
蒲田,ja,蒲田
蒲田,en,Kamata
久が原,ja,久が原
久が原,en,Kugahara
長原,ja,長原
長原,en,Nagahara
御嶽山,ja,御嶽山
御嶽山,en,Ontakesan
大崎広小路,ja,大崎広小路
大崎広小路,en,Osakihirokoji
洗足池,ja,洗足池
洗足池,en,Senzoku-ike
戸越銀座,ja,戸越銀座
戸越銀座,en,Togoshi-ginza
雪が谷大塚,ja,雪が谷大塚
雪が谷大塚,en,Yukigayaotsuka
こどもの国,ja,こどもの国
こどもの国,en,Kodomonokuni
恩田,ja,恩田
恩田,en,Onda
田園調布,ja,田園調布
田園調布,en,Den-en-chofu
不動前,ja,不動前
不動前,en,Fudo-mae
日吉,ja,日吉
日吉,en,Hiyoshi
目黒,ja,目黒
目黒,en,Meguro
元住吉,ja,元住吉
元住吉,en,Motosumiyoshi
武蔵小杉,ja,武蔵小杉
武蔵小杉,en,Musashi-Kosugi
武蔵小山,ja,武蔵小山
武蔵小山,en,Musashi-koyama
西小山,ja,西小山
西小山,en,Nishi-koyama
奥沢,ja,奥沢
奥沢,en,Okusawa
大岡山,ja,大岡山
大岡山,en,Ookayama
洗足,ja,洗足
洗足,en,Senzoku
新丸子,ja,新丸子
新丸子,en,Shin-maruko
多摩川,ja,多摩川
多摩川,en,Tamagawa
荏原町,ja,荏原町
荏原町,en,Ebara-machi
自由が丘,ja,自由が丘
自由が丘,en,Jiyugaoka
みどり湖,ja,みどり湖
みどり湖,en,Midoriko
上野毛,ja,上野毛
上野毛,en,Kaminoge
北千束,ja,北千束
北千束,en,Kita-senzoku
九品仏,ja,九品仏
九品仏,en,Kuhombutsu
緑が丘,ja,緑が丘
緑が丘,en,Midorigaoka
中延,ja,中延
中延,en,Nakanobu
大井町,ja,大井町
大井町,en,Oimachi
尾山台,ja,尾山台
尾山台,en,Oyamadai
下神明,ja,下神明
下神明,en,Shimo-shimmei
等々力,ja,等々力
等々力,en,Todoroki
戸越公園,ja,戸越公園
戸越公園,en,Togoshi-koen
上町,ja,上町
上町,en,Kamimachi
松原,ja,松原
松原,en,Matsubara
宮の坂,ja,宮の坂
宮の坂,en,Miyanosaka
西太子堂,ja,西太子堂
西太子堂,en,Nishi-taishido
世田谷,ja,世田谷
世田谷,en,Setagaya
下高井戸,ja,下高井戸
下高井戸,en,Shimo-takaido
